,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
988,2019.11.26_14.08.34,-8.394878,51.886015,5G,-102,-12,5.0,7,-85,0,0,I
989,2019.11.26_14.08.35,-8.394878,51.886015,5G,-101,-12,3.0,7,-85,0,0,I
990,2019.11.26_14.08.36,-8.394878,51.886015,5G,-101,-12,3.0,7,-85,0,0,I
991,2019.11.26_14.08.37,-8.394878,51.886015,5G,-99,-13,9.0,12,-,0,0,I
992,2019.11.26_14.08.38,-8.394878,51.886015,5G,-99,-13,9.0,8,-84,0,0,I
993,2019.11.26_14.08.39,-8.394878,51.886015,5G,-101,-10,5.0,8,-84,0,0,I
994,2019.11.26_14.08.40,-8.394878,51.886015,5G,-101,-10,5.0,8,-84,0,0,I
995,2019.11.26_14.08.41,-8.394878,51.886015,5G,-101,-11,3.0,8,-84,0,0,I
996,2019.11.26_14.08.42,-8.394878,51.886015,5G,-101,-11,3.0,8,-84,0,0,I
997,2019.11.26_14.08.43,-8.394878,51.886015,5G,-101,-14,3.0,15,-86,2,18,D
998,2019.11.26_14.08.44,-8.394878,51.886015,5G,-101,-14,3.0,14,-84,8305,134,D
999,2019.11.26_14.08.45,-8.394878,51.886015,5G,-101,-10,5.0,14,-84,12617,144,D
1000,2019.11.26_14.08.47,-8.394878,51.886015,5G,-101,-10,5.0,14,-84,14510,106,D
1001,2019.11.26_14.08.48,-8.394878,51.886015,5G,-101,-11,4.0,12,-86,0,0,D
1002,2019.11.26_14.08.49,-8.394878,51.886015,5G,-101,-11,4.0,12,-86,0,0,I
1003,2019.11.26_14.08.50,-8.394878,51.886015,5G,-101,-14,4.0,12,-86,0,0,I
1004,2019.11.26_14.08.51,-8.394878,51.886015,5G,-101,-14,4.0,15,-84,0,0,I
1005,2019.11.26_14.08.52,-8.394878,51.886015,5G,-100,-14,0.0,15,-84,0,0,I
1006,2019.11.26_14.08.53,-8.394878,51.886015,5G,-100,-14,0.0,15,-84,0,0,I
