,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1697,2019.12.16_13.34.22,-8.394601,51.886139,5G,-100,-10,5.0,14,-88,0,0,I
1698,2019.12.16_13.34.23,-8.394601,51.886139,5G,-100,-10,5.0,14,-88,0,0,I
1699,2019.12.16_13.34.24,-8.394601,51.886139,5G,-100,-13,7.0,14,-83,0,0,I
1700,2019.12.16_13.34.25,-8.394601,51.886139,5G,-100,-13,7.0,14,-83,21,5,D
1701,2019.12.16_13.34.26,-8.394601,51.886139,5G,-99,-10,4.0,14,-83,14,0,D
1702,2019.12.16_13.34.27,-8.394601,51.886139,5G,-99,-10,4.0,14,-83,2,4,D
1703,2019.12.16_13.34.28,-8.394601,51.886139,5G,-100,-10,1.0,14,-83,0,0,D
1704,2019.12.16_13.34.29,-8.394601,51.886139,5G,-100,-10,1.0,14,-83,2,4,D
1705,2019.12.16_13.34.30,-8.394601,51.886139,5G,-100,-10,5.0,11,-87,0,0,I
1706,2019.12.16_13.34.32,-8.394601,51.886139,5G,-100,-10,5.0,12,-89,2,4,D
1707,2019.12.16_13.34.33,-8.394601,51.886139,5G,-99,-13,5.0,12,-89,0,0,I
1708,2019.12.16_13.34.34,-8.394601,51.886139,5G,-99,-13,5.0,12,-89,0,0,I
1709,2019.12.16_13.34.35,-8.394601,51.886139,5G,-98,-14,3.0,12,-89,0,0,I
1710,2019.12.16_13.34.36,-8.394601,51.886139,5G,-98,-14,3.0,12,-89,0,0,I
1711,2019.12.16_13.34.37,-8.394601,51.886139,5G,-98,-13,1.0,12,-89,0,0,I
1712,2019.12.16_13.34.38,-8.394601,51.886139,5G,-98,-13,1.0,12,-89,0,0,I
1713,2019.12.16_13.34.39,-8.394601,51.886139,5G,-101,-15,3.0,10,-87,0,0,I
1714,2019.12.16_13.34.40,-8.394601,51.886139,5G,-101,-15,3.0,10,-87,0,0,I
1715,2019.12.16_13.34.41,-8.394601,51.886139,5G,-100,-15,0.0,10,-87,0,0,I
